id;tracking_code;date;details
1;global;2019-06-20T15:47:08;Moroccan Dirham
2;Springs connecting;2019-06-20T11:07:28;connecting Planner Refined
3;engage Granite Grocery;2019-06-20T00:23:16;Credit Card Account transmitter cyan
4;Checking Account;2019-06-19T18:58:48;Home Loan Account withdrawal
5;partnerships International;2019-06-20T10:09:11;Berkshire solid state
6;middleware Switzerland;2019-06-20T01:46:04;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-06-20T06:41:18;concept payment
8;robust;2019-06-20T05:37:00;Creek
9;Shirt Metal;2019-06-20T03:07:48;Chicken
10;e-business RSS;2019-06-20T06:08:44;Officer Savings Account Automated
